Date,Close,predictions
2020-12-16,21310.59766,19101.531
2020-12-17,22805.16211,19356.053
2020-12-18,23137.96094,19769.03
2020-12-19,23869.83203,20359.516
2020-12-20,23477.29492,21049.14
2020-12-21,22803.08203,21779.676
2020-12-22,23783.0293,22441.291
2020-12-23,23241.3457,23014.547
2020-12-24,23735.94922,23454.3
2020-12-25,24664.79102,23764.098
2020-12-26,26437.03711,23901.61
2020-12-27,26272.29492,24067.56
2020-12-28,27084.80859,24325.562
2020-12-29,27362.4375,24705.78
2020-12-30,28840.95313,25184.26
2020-12-31,29001.7207,25793.982
2021-01-01,29374.15234,26511.227
2021-01-02,32127.26758,27248.918
2021-01-03,32782.02344,28129.91
2021-01-04,31971.91406,29073.861
2021-01-05,33992.42969,29998.129
2021-01-06,36824.36328,30909.268
2021-01-07,39371.04297,31910.188
2021-01-08,40797.60938,33104.08
2021-01-09,40254.54688,34487.145
2021-01-10,38356.44141,35920.95
2021-01-11,35566.65625,37205.32
2021-01-12,33922.96094,38056.13
2021-01-13,37316.35938,38351.008
2021-01-14,39187.32813,38366.47
2021-01-15,36825.36719,38318.09
2021-01-16,36178.14063,38215.1
2021-01-17,35791.27734,38046.625
2021-01-18,36630.07422,37753.258
2021-01-19,36069.80469,37438.38
2021-01-20,35547.75,37096.402
2021-01-21,30825.69922,36705.965
2021-01-22,33005.76172,36110.645
2021-01-23,32067.64258,35388.906
2021-01-24,32289.37891,34462.07
2021-01-25,32366.39258,33611.355
2021-01-26,32569.84961,32936.64
2021-01-27,30432.54688,32486.541
2021-01-28,33466.09766,32128.299
2021-01-29,34316.38672,31963.107
2021-01-30,34269.52344,31972.01
2021-01-31,33114.35938,32169.521
2021-02-01,33537.17578,32419.473
2021-02-02,35510.28906,32674.75
2021-02-03,37472.08984,33011.625
2021-02-04,36926.06641,33431.902
2021-02-05,38144.30859,33976.71
2021-02-06,39266.01172,34569.645
2021-02-07,38903.44141,35289.344
2021-02-08,46196.46484,36047.6
2021-02-09,46481.10547,37167.855
2021-02-10,44918.18359,38569.457
2021-02-11,47909.33203,40047.28
2021-02-12,47504.85156,41560.074
2021-02-13,47105.51563,42954.03
2021-02-14,48717.28906,44215.594
2021-02-15,47945.05859,45285.184
2021-02-16,49199.87109,46193.523
2021-02-17,52149.00781,46967.35
2021-02-18,51679.79688,47634.285
2021-02-19,55888.13281,48289.863
2021-02-20,56099.51953,49155.19
2021-02-21,57539.94531,50182.95
2021-02-22,54207.32031,51394.945
2021-02-23,48824.42578,52418.418
2021-02-24,49705.33203,52875.71
2021-02-25,47093.85156,52862.406
2021-02-26,46339.76172,52314.81
2021-02-27,46188.45313,51360.008
2021-02-28,45137.76953,50194.02
2021-03-01,49631.24219,48888.363
2021-03-02,48378.98828,47815.73
2021-03-03,50538.24219,47064.42
2021-03-04,48561.16797,46685.53
2021-03-05,48927.30469,46595.848
2021-03-06,48912.38281,46602.66
2021-03-07,51206.69141,46748.582
2021-03-08,52246.52344,47063.883
2021-03-09,54824.11719,47582.633
2021-03-10,56008.55078,48472.684
2021-03-11,57805.12109,49611.05
2021-03-12,57332.08984,50978.316
2021-03-13,61243.08594,52332.84
2021-03-14,59302.31641,53790.203
2021-03-15,55907.19922,55064.363
2021-03-16,56804.90234,55962.547
2021-03-17,58870.89453,56505.203
2021-03-18,57858.92188,56870.016
2021-03-19,58346.65234,57062.086
2021-03-20,58313.64453,57183.3
2021-03-21,57523.42188,57278.105
2021-03-22,54529.14453,57337.137
2021-03-23,54738.94531,57108.02
2021-03-24,52774.26563,56644.258
2021-03-25,51704.16016,55873.805
2021-03-26,55137.3125,54906.85
2021-03-27,55973.51172,54085.82
2021-03-28,55950.74609,53636.65
2021-03-29,57750.19922,53477.56
2021-03-30,58917.69141,53621.906
2021-03-31,58918.83203,54128.316
2021-04-01,59095.80859,54863.27
2021-04-02,59384.3125,55569.715
2021-04-03,57603.89063,56253.02
2021-04-04,58758.55469,56710.867
2021-04-05,59057.87891,57122.65
2021-04-06,58192.35938,57461.145
2021-04-07,56048.9375,57634.04
2021-04-08,58323.95313,57537.63
2021-04-09,58245.00391,57369.105
2021-04-10,59793.23438,57240.76
2021-04-11,60204.96484,57229.05
2021-04-12,59893.45313,57408.652
2021-04-13,63503.45703,57646.008
2021-04-14,63109.69531,58073.156
2021-04-15,63314.01172,58656.285
2021-04-16,61572.78906,59310.293
2021-04-17,60683.82031,59743.086
2021-04-18,56216.18359,59973.906
2021-04-19,55724.26563,59694.633
2021-04-20,56473.03125,59029.35
2021-04-21,53906.08984,58243.156
2021-04-22,51762.27344,57225.297
2021-04-23,51093.65234,56076.395
2021-04-24,50050.86719,54903.89
2021-04-25,49004.25391,53787.203
2021-04-26,54021.75391,52672.66
2021-04-27,55033.11719,51666.527
2021-04-28,54824.70313,51051.246
2021-04-29,53555.10938,50909.074
2021-04-30,57750.17578,51057.86
2021-05-01,57828.05078,51618.594
2021-05-02,56631.07813,52263.535
2021-05-03,57200.29297,52928.875
2021-05-04,53333.53906,53611.754
2021-05-05,57424.00781,54020.336
2021-05-06,56396.51563,54418.93
2021-05-07,57356.40234,54722.617
2021-05-08,58803.77734,54969.844
2021-05-09,58232.31641,55273.445
2021-05-10,55859.79688,55589.52
2021-05-11,56704.57422,55788.184
2021-05-12,49150.53516,55852.938
2021-05-13,49716.19141,55358.387
2021-05-14,49880.53516,54489.61
2021-05-15,46760.1875,53392.71
2021-05-16,46456.05859,52098.332
2021-05-17,43537.51172,50746.82
2021-05-18,42909.40234,49306.062
2021-05-19,37002.44141,47777.926
2021-05-20,40782.73828,45853.965
2021-05-21,37304.69141,43958.965
2021-05-22,37536.63281,42169.215
2021-05-23,34770.58203,40616.63
2021-05-24,38705.98047,39197.9
2021-05-25,38402.22266,38071.64
2021-05-26,39294.19922,37278.633
2021-05-27,38436.96875,36870.203
2021-05-28,35697.60547,36755.887
2021-05-29,34616.06641,36598.27
2021-05-30,35678.12891,36369.246
2021-05-31,37332.85547,36161.73
2021-06-01,36684.92578,36042.473
2021-06-02,37575.17969,35955.887
2021-06-03,39208.76563,36037.645
2021-06-04,36894.40625,36333.152
2021-06-05,35551.95703,36683.555
2021-06-06,35862.37891,36901.18
2021-06-07,33560.70703,37011.598
2021-06-08,33472.63281,36872.203
2021-06-09,37345.12109,36455.96
2021-06-10,36702.59766,36126.902
2021-06-11,37334.39844,35941.62
2021-06-12,35552.51563,36001.418
2021-06-13,39097.85938,36102.652
2021-06-14,40218.47656,36348.43
2021-06-15,40406.26953,36718.74
2021-06-16,38347.0625,37256.22
2021-06-17,38053.50391,37778.176
2021-06-18,35787.24609,38182.914
2021-06-19,35615.87109,38339.312
2021-06-20,35698.29688,38165.457
2021-06-21,31676.69336,37686.375
2021-06-22,32505.66016,36943.04
2021-06-23,33723.02734,35998.348
2021-06-24,34662.4375,35059.195
2021-06-25,31637.7793,34288.97
2021-06-26,32186.27734,33665.62
2021-06-27,34649.64453,33175.98
2021-06-28,34434.33594,32929.67
2021-06-29,35867.77734,32910.316
2021-06-30,35040.83594,33121.13
2021-07-01,33572.11719,33477.836
2021-07-02,33897.04688,33781.12
2021-07-03,34668.54688,34016.16
2021-07-04,35287.78125,34187.227
2021-07-05,33746.00391,34342.66
2021-07-06,34235.19531,34399.4
2021-07-07,33855.32813,34320.816
2021-07-08,32877.37109,34164.08
2021-07-09,33798.01172,33963.184
2021-07-10,33520.51953,33795.754
2021-07-11,34240.1875,33625.145
2021-07-12,33155.84766,33480.766
2021-07-13,32702.02539,33384.984
2021-07-14,32822.34766,33326.4
2021-07-15,31780.73047,33229.293
2021-07-16,31421.53906,33107.06
2021-07-17,31533.06836,32946.277
2021-07-18,31796.81055,32772.6
2021-07-19,30817.83203,32478.402
2021-07-20,29807.34766,32155.375
2021-07-21,32110.69336,31775.83
2021-07-22,32313.10547,31499.625
2021-07-23,33581.55078,31397.445
2021-07-24,34292.44531,31518.537
2021-07-25,35350.1875,31794.193
2021-07-26,37337.53516,32236.105
2021-07-27,39406.94141,32940.094
2021-07-28,39995.90625,33901.383
2021-07-29,40008.42188,35087.88
2021-07-30,42235.54688,36348.05
2021-07-31,41626.19531,37679.92
2021-08-01,39974.89453,38889.93
2021-08-02,39201.94531,39805.04
2021-08-03,38152.98047,40231.812
2021-08-04,39747.50391,40341.95
2021-08-05,40869.55469,40336.66
2021-08-06,42816.5,40355.395
2021-08-07,44555.80078,40426.11
2021-08-08,43798.11719,40736.117
2021-08-09,46365.40234,41111.47
2021-08-10,45585.03125,41659.754
2021-08-11,45593.63672,42348.566
2021-08-12,44428.28906,43097.37
2021-08-13,47793.32031,43736.31
2021-08-14,47096.94531,44361.066
2021-08-15,47047.00391,44988.24
2021-08-16,46004.48438,45502.56
2021-08-17,44695.35938,45893.406
2021-08-18,44801.1875,45927.47
2021-08-19,46717.57813,45883.94
2021-08-20,49339.17578,45870.9
2021-08-21,48905.49219,45983.43
2021-08-22,49321.65234,46221.3
2021-08-23,49546.14844,46560.26
2021-08-24,47706.11719,46999.53
2021-08-25,48960.78906,47394.83
2021-08-26,46942.21875,47688.523
2021-08-27,49058.66797,47786.957
2021-08-28,48902.40234,47873.44
2021-08-29,48829.83203,47982.727
2021-08-30,47054.98438,47920.152
2021-08-31,47166.6875,47841.668
2021-09-01,48847.02734,47781.77
2021-09-02,49327.72266,47751.17
2021-09-03,50025.375,47800.742
2021-09-04,49944.625,47919.395
2021-09-05,51753.41016,48103.0
2021-09-06,52633.53516,48450.24
2021-09-07,46811.12891,48927.723
2021-09-08,46091.39063,49235.965
2021-09-09,46391.42188,49101.133
2021-09-10,44883.91016,48726.17
2021-09-11,45201.45703,48156.184
2021-09-12,46063.26953,47438.73
2021-09-13,44963.07422,46665.28
2021-09-14,47092.49219,45910.637
2021-09-15,48176.34766,45415.35
2021-09-16,47783.35938,45265.285
2021-09-17,47267.51953,45405.09
2021-09-18,48278.36328,45707.4
2021-09-19,47260.21875,46153.16
2021-09-20,42843.80078,46545.734
2021-09-21,40693.67578,46589.754
2021-09-22,43574.50781,46065.086
2021-09-23,44895.09766,45392.004
2021-09-24,42839.75,44735.195
2021-09-25,42716.59375,44083.31
